, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
139, 24626.836769794252, 20341.10421895264, 15808.642489575484, 26127.779222729252, 51160.00599225097, 25762.102352125126, 85579.00443244769,
140, 22933.10556617418, 20346.80656502465, 15845.018131640594, 25626.59015328627, 51472.347091393895, 25703.41652118211, 85379.57841394618,
141, 25458.87803025533, 20462.14614184027, 15493.837961910811, 25435.492325594292, 53715.23324311989, 25838.57776119171, 86433.57379819415,
142, 25059.035656217307, 20247.214215427335, 15448.564232664294, 25959.46200431085, 53527.54611349278, 25578.29861463199, 87521.48458767736,
143, 23849.207128591876, 20234.827387526868, 15312.609922259096, 26077.788292406087, 53844.84840489402, 26329.739382067004, 87731.10623060391,
144, 24572.136879908438, 19964.127543151957, 15563.487993473425, 25451.10202756962, 54966.96863170541, 25774.927960941528, 87466.83430425244,
145, 25410.867580137354, 19806.472276762768, 15331.235837284341, 25540.749412100176, 52123.537447416165, 26246.82796493708, 87821.65642424862,
146, 25863.02156201919, 20533.483194704488, 15584.658375453906, 25718.661005289712, 49024.38877496702, 25716.478298952657, 87599.65870243237,
147, 25924.096260617756, 20584.51782106156, 16183.594231652318, 26171.05567917548, 51490.48585925409, 25459.856509613597, 88138.51402381403,
148, 25002.802315729914, 19944.473472906397, 15495.683809281973, 25744.298758178655, 53334.58077040047, 25755.55777877257, 87744.08943207795,
